"","Kinder_Change","N_obs","min","Q25","mean","Q50","Q75","max"
"1","Full day-Full day",3673,-153,-10,-0.774026681187041,-1,8,87
"2","Full day-Part day",137,-63,-11,-3.91240875912409,-3,3,61
"3","Part day-Full day",423,-81,-8,0.747044917257683,0,10,62
"4","Part day-Part day",1344,-112,-13,-2.60416666666667,-2,7,87
