"","TransK_Change","N_obs","min","Q25","mean","Q50","Q75","max"
"1","Full day-Full day",2354,-153,-10,-0.564146134239592,-1,9,87
"2","Full day-None",116,-49,-19,-8.22413793103448,-6.5,2.25,30
"3","Full day-Part day",85,-46,-11,-3.49411764705882,-1,4,25
"4","None-Full day",150,-30,2,13.42,10,23,73
"5","None-None",1225,-45,-8,-1.72571428571429,-1,4,56
"6","None-Part day",115,-66,3,15.6608695652174,16,25.5,66
"7","Part day-Full day",268,-81,-10,-0.630597014925373,0,9,55
"8","Part day-None",85,-73,-31,-19.1882352941176,-19,-2,10
"9","Part day-Part day",1179,-112,-13,-3.29431721798134,-2,7,87
