"","Subject","N_Courses","Freq","Percent","CumFreq","CumPercent"
"107","Multiple Industry Sectors",3,3,0.1,5510,100
"108","Public Services",1,1449,93.7,1449,93.7
"109","Public Services",2,72,4.7,1521,98.3
"110","Public Services",3,25,1.6,1546,99.9
"111","Public Services",4,1,0.1,1547,100
"112","Dance",1,2022,96,2022,96
"113","Dance",2,77,3.7,2099,99.6
"114","Dance",3,8,0.4,2107,100
"115","Marketing, Sales, and Service",1,793,97.1,793,97.1
"116","Marketing, Sales, and Service",2,23,2.8,816,99.9
"117","Marketing, Sales, and Service",3,1,0.1,817,100
"118","Business and Finance",1,2513,97.6,2513,97.6
"119","Business and Finance",2,61,2.4,2574,100
"120","Engineering and Architecture",1,2609,93.1,2609,93.1
"121","Engineering and Architecture",2,174,6.2,2783,99.3
"122","Engineering and Architecture",3,15,0.5,2798,99.9
"123","Engineering and Architecture",4,4,0.1,2802,100
"124","Manufacturing and Product Development",1,937,87.1,937,87.1
"125","Manufacturing and Product Development",2,126,11.7,1063,98.8
"126","Manufacturing and Product Development",3,13,1.2,1076,100
"127","Fashion and Interior Design",1,365,86.9,365,86.9
"128","Fashion and Interior Design",2,45,10.7,410,97.6
"129","Fashion and Interior Design",3,8,1.9,418,99.5
"130","Fashion and Interior Design",4,2,0.5,420,100
"131","Energy and Utilities",1,299,98.4,299,98.4
"132","Energy and Utilities",2,5,1.6,304,100
