"","Subject","N_Courses","Freq","Percent","CumFreq","CumPercent"
"1","Art",1,24393,93.9,24393,93.9
"2","Art",2,1369,5.3,25762,99.1
"3","Art",3,186,0.7,25948,99.9
"4","Art",4,34,0.1,25982,100
"5","Art",5,3,0,25985,100
"6","Art",8,1,0,25986,100
"7","Arts, Media, and Entertainment",1,5481,97.2,5481,97.2
"8","Arts, Media, and Entertainment",2,148,2.6,5629,99.8
"9","Arts, Media, and Entertainment",3,10,0.2,5639,100
"10","Arts, Media, and Entertainment",4,2,0,5641,100
"11","Building and Construction Trades",1,2027,95,2027,95
"12","Building and Construction Trades",2,98,4.6,2125,99.6
"13","Building and Construction Trades",3,8,0.4,2133,100
"14","Business and Finance",1,7198,98.4,7198,98.4
"15","Business and Finance",2,113,1.5,7311,100
"16","Business and Finance",3,3,0,7314,100
"17","Computer Education",1,6358,98.6,6358,98.6
"18","Computer Education",2,87,1.3,6445,99.9
"19","Computer Education",3,6,0.1,6451,100
"20","Drama/Theater",1,4688,95.7,4688,95.7
"21","Drama/Theater",2,197,4,4885,99.7
"22","Drama/Theater",3,15,0.3,4900,100
"23","Education, Child Development, and Family Services",1,4533,96.6,4533,96.6
"24","Education, Child Development, and Family Services",2,127,2.7,4660,99.3
"25","Education, Child Development, and Family Services",3,31,0.7,4691,100
"26","Education, Child Development, and Family Services",4,1,0,4692,100
"27","English Language Arts",1,156492,96.3,156492,96.3
"28","English Language Arts",2,3574,2.2,160066,98.5
"29","English Language Arts",3,1006,0.6,161072,99.1
"30","English Language Arts",4,904,0.6,161976,99.6
"31","English Language Arts",5,388,0.2,162364,99.9
"32","English Language Arts",6,154,0.1,162518,100
"33","English Language Arts",7,40,0,162558,100
"34","English Language Arts",8,14,0,162572,100
"35","English Language Arts",9,4,0,162576,100
"36","English Language Arts",11,1,0,162577,100
"37","Foreign Languages",1,34033,97,34033,97
"38","Foreign Languages",2,951,2.7,34984,99.7
"39","Foreign Languages",3,94,0.3,35078,99.9
"40","Foreign Languages",4,10,0,35088,100
"41","Foreign Languages",5,6,0,35094,100
"42","Foreign Languages",6,1,0,35095,100
"43","Foreign Languages",7,1,0,35096,100
"44","Foreign Languages",11,1,0,35097,100
"45","Health Education",1,11509,99.9,11509,99.9
"46","Health Education",2,17,0.1,11526,100
"47","History/Social Science",1,112402,96.4,112402,96.4
"48","History/Social Science",2,2122,1.8,114524,98.2
"49","History/Social Science",3,909,0.8,115433,99
"50","History/Social Science",4,738,0.6,116171,99.6
"51","History/Social Science",5,280,0.2,116451,99.9
"52","History/Social Science",6,108,0.1,116559,100
"53","History/Social Science",7,40,0,116599,100
"54","History/Social Science",8,12,0,116611,100
"55","History/Social Science",10,1,0,116612,100
"56","Hospitality, Tourism, and Recreation",1,3151,97.5,3151,97.5
"57","Hospitality, Tourism, and Recreation",2,76,2.4,3227,99.8
"58","Hospitality, Tourism, and Recreation",3,3,0.1,3230,99.9
"59","Hospitality, Tourism, and Recreation",4,2,0.1,3232,100
"60","Mathematics",1,130574,96.6,130574,96.6
"61","Mathematics",2,2854,2.1,133428,98.7
"62","Mathematics",3,982,0.7,134410,99.5
"63","Mathematics",4,348,0.3,134758,99.7
