"","Subject","N_Courses","Freq","Percent","CumFreq","CumPercent"
"64","Mathematics",5,195,0.1,134953,99.9
"65","Mathematics",6,94,0.1,135047,99.9
"66","Mathematics",7,48,0,135095,100
"67","Mathematics",8,29,0,135124,100
"68","Mathematics",9,2,0,135126,100
"69","Mathematics",10,1,0,135127,100
"70","Music",1,16328,97.5,16328,97.5
"71","Music",2,405,2.4,16733,99.9
"72","Music",3,20,0.1,16753,100
"73","Music",5,1,0,16754,100
"74","Other Instruction-Related Assignments",1,86253,98.3,86253,98.3
"75","Other Instruction-Related Assignments",2,1378,1.6,87631,99.8
"76","Other Instruction-Related Assignments",3,128,0.1,87759,100
"77","Other Instruction-Related Assignments",4,4,0,87763,100
"78","Other Instruction-Related Assignments",5,2,0,87765,100
"79","Physical Education",1,61299,96.5,61299,96.5
"80","Physical Education",2,1832,2.9,63131,99.4
"81","Physical Education",3,366,0.6,63497,99.9
"82","Physical Education",4,28,0,63525,100
"83","Physical Education",5,8,0,63533,100
"84","Public Services",1,1156,98.7,1156,98.7
"85","Public Services",2,12,1,1168,99.7
"86","Public Services",3,3,0.3,1171,100
"87","Science",1,97577,96.8,97577,96.8
"88","Science",2,2502,2.5,100079,99.3
"89","Science",3,558,0.6,100637,99.8
"90","Science",4,105,0.1,100742,99.9
"91","Science",5,39,0,100781,100
"92","Science",6,18,0,100799,100
"93","Science",7,7,0,100806,100
"94","Science",8,1,0,100807,100
"95","Science",9,1,0,100808,100
"96","Self-Contained Class",1,155921,100,155921,100
"97","Special Designated Subjects",1,3473,99.9,3473,99.9
"98","Special Designated Subjects",2,2,0.1,3475,100
"99","Transportation",1,1545,93.7,1545,93.7
"100","Transportation",2,92,5.6,1637,99.3
"101","Transportation",3,11,0.7,1648,99.9
"102","Transportation",4,1,0.1,1649,100
"103","Work Experience",1,1980,100,1980,100
"104","Engineering and Architecture",1,1560,95.1,1560,95.1
"105","Engineering and Architecture",2,72,4.4,1632,99.5
"106","Engineering and Architecture",3,9,0.5,1641,100
"107","Agriculture and Natural Resources",1,3215,95.9,3215,95.9
"108","Agriculture and Natural Resources",2,133,4,3348,99.8
"109","Agriculture and Natural Resources",3,6,0.2,3354,100
"110","Energy and Utilities",1,459,98.7,459,98.7
"111","Energy and Utilities",2,5,1.1,464,99.8
"112","Energy and Utilities",3,1,0.2,465,100
"113","Health Science and Medical Technology",1,1914,98.3,1914,98.3
"114","Health Science and Medical Technology",2,15,0.8,1929,99.1
"115","Health Science and Medical Technology",3,6,0.3,1935,99.4
"116","Health Science and Medical Technology",4,3,0.2,1938,99.5
"117","Health Science and Medical Technology",5,6,0.3,1944,99.8
"118","Health Science and Medical Technology",6,3,0.2,1947,100
"119","Dance",1,1756,96.4,1756,96.4
"120","Dance",2,62,3.4,1818,99.8
"121","Dance",3,4,0.2,1822,100
"122","Marketing, Sales, and Service",1,663,99,663,99
"123","Marketing, Sales, and Service",2,6,0.9,669,99.9
"124","Marketing, Sales, and Service",3,1,0.1,670,100
"125","Information and Communication Technologies",1,1447,96.9,1447,96.9
"126","Information and Communication Technologies",2,46,3.1,1493,99.9
"127","Information and Communication Technologies",3,1,0.1,1494,100
"128","Fashion and Interior Design",1,541,96.4,541,96.4
"129","Fashion and Interior Design",2,20,3.6,561,100
"130","Manufacturing and Product Development",1,1797,97.9,1797,97.9
"131","Manufacturing and Product Development",2,38,2.1,1835,100
