"","factor","term","estimate","std.error","statistic","p.value"
"1","Total Expenditures","(Intercept)",-8.44890565180527,7.63380918568388,-1.10677454024525,0.26841265728161
"2","Total Expenditures","log_trend",0.760833794849112,0.303086479244275,2.51028616237252,0.0120758275849618
"3","Total Expenditures","log_PPE",0.743372920637994,0.842336347445014,0.882513170531941,0.377516283868272
"4","Total Expenditures","year2003",12.2975404454814,10.8727802788638,1.13103917582031,0.258060241557299
"5","Total Expenditures","year2004",-5.98311303558762,10.9243364779199,-0.547686630458572,0.583916845376139
"6","Total Expenditures","year2005",-18.0450145111193,11.0244662368417,-1.63681525467566,0.101694180472632
"7","Total Expenditures","year2006",4.01038524076974,11.1619815519111,0.359289721284578,0.719384414835041
"8","Total Expenditures","year2007",-8.97277099846653,11.3172212087784,-0.792842238650124,0.427884749353642
"9","Total Expenditures","year2008",11.0027150163935,11.1543155863978,0.986408796771967,0.323951589216384
"10","Total Expenditures","year2009",3.55287095519111,9.0966378319869,0.390569683086425,0.696121975690199
"11","Total Expenditures","year2010",-3.20661634952371,10.9356791908286,-0.293225166317331,0.769354903198587
"12","Total Expenditures","year2011",-7.12527996573192,10.7996599101527,-0.659768920966988,0.509414252028501
"13","Total Expenditures","year2013",-3.61910032681379,10.7515663952341,-0.336611447464812,0.7364154604628
"14","Total Expenditures","year2014",12.6636734924412,9.59601422403341,1.31968056703426,0.186965792054969
"15","Total Expenditures","year2015",-16.5509405758205,11.1800146257983,-1.48040419711335,0.13879054321074
"16","Total Expenditures","year2016",-4.3547436222325,9.70117906050069,-0.448888077941296,0.653520156715874
"17","Total Expenditures","log_PPE:year2003",-1.36271654342744,1.14929897333462,-1.18569369245462,0.235765761930441
"18","Total Expenditures","log_PPE:year2004",0.82324881499382,1.15330097593841,0.713819577169754,0.475352042719162
"19","Total Expenditures","log_PPE:year2005",2.03681974401943,1.16207460421031,1.75274439062676,0.0796703375781186
"20","Total Expenditures","log_PPE:year2006",-0.323302897987589,1.17333186831012,-0.275542586645349,0.782903954005551
"21","Total Expenditures","log_PPE:year2007",1.04102273101164,1.18708994422642,0.876953541789145,0.38052867883381
"22","Total Expenditures","log_PPE:year2008",-1.26678952214231,1.17330425211462,-1.07967692084914,0.280306848210163
"23","Total Expenditures","log_PPE:year2009",-0.654008840439005,0.959423579822881,-0.681668508251321,0.495461178655796
"24","Total Expenditures","log_PPE:year2010",0.174516947848664,1.15504061082717,0.151091612028849,0.879905880464963
"25","Total Expenditures","log_PPE:year2011",0.725734977670783,1.14054851293919,0.636303471038305,0.524590261107508
"26","Total Expenditures","log_PPE:year2013",0.537497576311232,1.13251058542093,0.47460711028273,0.635075305289433
"27","Total Expenditures","log_PPE:year2014",-0.958926197535606,1.00839788529596,-0.950940309889844,0.341653012062648
"28","Total Expenditures","log_PPE:year2015",2.08657524815879,1.16638303768409,1.78892797712643,0.0736505533474605
"29","Total Expenditures","log_PPE:year2016",0.869061170364256,1.0129000457054,0.857993021176172,0.390912721654407
"30","Student Spending","(Intercept)",-1.34699665163356,7.57270558843177,-0.177875217239564,0.858823848477539
"31","Student Spending","log_trend",1.24957782044444,0.282699268526636,4.42016644385729,9.9453866211553e-06
"32","Student Spending","log_PPE",-0.489522512388708,0.853312905319944,-0.573672927406582,0.566199443819053
"33","Student Spending","year2003",6.76350896094665,10.9542158105557,0.617434335594265,0.536959496025929
"34","Student Spending","year2004",-10.8297096179908,10.9388471258893,-0.990022942395809,0.322182015036811
"35","Student Spending","year2005",-20.4579696726187,11.0755170908434,-1.84713449537558,0.0647512006376595
"36","Student Spending","year2006",1.33828314048114,11.0383506245892,0.121239412118326,0.903503351293358
"37","Student Spending","year2007",-16.1999837314678,11.1567977805603,-1.45202808638289,0.146518823993099
"38","Student Spending","year2008",6.06791065680076,11.0530641936047,0.548979952573845,0.583028986119872
"39","Student Spending","year2009",-5.37831039633846,9.6186960783252,-0.559151713760659,0.576068173340347
"40","Student Spending","year2010",7.87523763370016,9.6920134024365,0.812549189389315,0.416492004608011
"41","Student Spending","year2011",7.43630425994961,9.62795565983731,0.77236586069563,0.439912329567219
"42","Student Spending","year2013",-10.1798624067683,10.7061318025806,-0.950844113867025,0.341701847633453
"43","Student Spending","year2014",6.0429849648038,9.58908316979539,0.630194238364578,0.528578995986485
"44","Student Spending","year2015",-28.7389510259558,11.0293262722494,-2.60568509050868,0.00917991008427834
"45","Student Spending","year2016",-42.5002005563507,10.7713008033617,-3.94568876426573,8.00047709618911e-05
"46","Student Spending","log_PPE:year2003",-0.792235445062244,1.18299112409436,-0.669688410104292,0.503068776736374
"47","Student Spending","log_PPE:year2004",1.36575518289308,1.17973646639604,1.15767819491527,0.247017443548484
"48","Student Spending","log_PPE:year2005",2.34073868660583,1.19174859535338,1.96412120453285,0.0495381009970891
"49","Student Spending","log_PPE:year2006",-0.0391718247719431,1.18666854058899,-0.0330099125679194,0.973667208436152
"50","Student Spending","log_PPE:year2007",1.84816645218587,1.19703027838602,1.54395965211322,0.122623351195744
"51","Student Spending","log_PPE:year2008",-0.758944859605983,1.1885054390293,-0.63857079209149,0.523113853869241
"52","Student Spending","log_PPE:year2009",0.301395456675175,1.03555377891094,0.29104761414916,0.771019719546135
"53","Student Spending","log_PPE:year2010",-1.01553233412504,1.04501807017288,-0.971784472547001,0.331176533350033
"54","Student Spending","log_PPE:year2011",-0.829223481516064,1.03875725243708,-0.798284180033963,0.424720719601445
"55","Student Spending","log_PPE:year2013",1.2559208588079,1.15023534521644,1.09188164320544,0.274906112753379
