"","fit4.coefficients"
"(Intercept)",-1115.40754086409
"state_rev_PP_16_pred",-2.37606429201787
"Fiscalyear2003",-1241.97781537159
"Fiscalyear2004",-349.112113837299
"Fiscalyear2005",879.690357220144
"Fiscalyear2006",2477.54913061458
"Fiscalyear2007",2492.58061739434
"Fiscalyear2008",1634.13487837891
"Fiscalyear2009",-304.153594080314
"Fiscalyear2010",585.048808378512
"Fiscalyear2011",-773.387257137969
"Fiscalyear2012",-659.603215124074
"Fiscalyear2014",1952.38031657774
"Fiscalyear2015",4341.20432684775
"Fiscalyear2016",4912.08137176479
"factor(Dcode)61127",36034.4416012515
"factor(Dcode)61143",33529.0562636947
"factor(Dcode)61150",36543.0721113184
"factor(Dcode)61168",29668.514858154
"factor(Dcode)61176",28845.0303796814
"factor(Dcode)61192",29567.380411309
"factor(Dcode)61200",26305.1711838897
"factor(Dcode)61218",43068.1467822524
"factor(Dcode)61234",27725.1747676022
"factor(Dcode)61242",26705.5646292039
"factor(Dcode)61259",35177.1651611364
"factor(Dcode)61275",25281.5714150664
"factor(Dcode)61291",26990.899398545
"factor(Dcode)61309",27197.6874500535
"factor(Dcode)61333",80570.2166766708
"factor(Dcode)61382",31503.3311993353
"factor(Dcode)61408",35283.7940571912
"factor(Dcode)61424",27992.0905905324
"factor(Dcode)61432",28870.1022942244
"factor(Dcode)61440",59306.48258244
"factor(Dcode)61457",49313.0839413236
"factor(Dcode)61499",26670.8205637746
"factor(Dcode)61507",27240.0193933135
"factor(Dcode)61515",32430.9851861137
"factor(Dcode)61523",29582.830827786
"factor(Dcode)61531",29067.7617522182
"factor(Dcode)61549",30057.2543062841
"factor(Dcode)61556",43876.4118854108
"factor(Dcode)61564",27766.4384149053
"factor(Dcode)61572",25354.9932487085
"factor(Dcode)61580",32501.4108999029
"factor(Dcode)61598",28314.5030451355
"factor(Dcode)61606",33702.0671953619
"factor(Dcode)61614",29631.1281068483
"factor(Dcode)61622",28021.0707824374
"factor(Dcode)61630",40485.3841769986
"factor(Dcode)61648",26046.1174702749
"factor(Dcode)61655",23869.6224439713
"factor(Dcode)61663",25539.1982104489
"factor(Dcode)61671",29399.6170315272
"factor(Dcode)61697",28242.5316918373
"factor(Dcode)61705",27618.6434389853
"factor(Dcode)61713",23690.9774325172
"factor(Dcode)61721",26925.2024470532
"factor(Dcode)61739",26363.4015293606
"factor(Dcode)61747",23707.6044988342
"factor(Dcode)61754",29069.7517972206
"factor(Dcode)61762",24208.6059134311
"factor(Dcode)61770",23439.6239316827
"factor(Dcode)61788",28012.2270310933
"factor(Dcode)61796",30951.3520404299
"factor(Dcode)61804",25396.6633385291
"factor(Dcode)61812",23584.9385543468
"factor(Dcode)61820",28930.3724147886
"factor(Dcode)61838",25391.8320480882
"factor(Dcode)61846",27795.7619645937
"factor(Dcode)61853",28892.1380239573
"factor(Dcode)61879",26705.550112209
"factor(Dcode)61887",25852.1139795226
"factor(Dcode)61895",38936.1313337268
"factor(Dcode)61903",30222.1304872597
"factor(Dcode)61911",32452.8381142942
"factor(Dcode)61929",26151.2741974868
"factor(Dcode)61945",29612.6391669126
"factor(Dcode)61952",26482.9798571252
"factor(Dcode)61960",27502.6175078654
