"","Fiscalyear","Ccode","Dcode","RegularADA","SpecialEdADA","ROCPADA","AdultEdADA","K12ADA","K12ADA_C"
"86",2003,9,61911,190.95,0,0,0,190.95,194.46
"87",2003,9,61929,1514.13,24.02,0,0,1538.15,1569.89
"88",2003,9,61945,431.46,22.63,0,0,454.09,462.31
"89",2003,9,61952,1190,22.12,0,0,1212.12,1242.09
"90",2003,9,61960,772.4,0.87,0,0,773.27,791.97
"91",2003,9,61978,3403.75,29.19,0,0,3432.94,3470.91
"92",2003,9,61986,9.89,0,0,0,9.89,10.33
"93",2003,9,73783,1862.26,48.29,60.51,0,1910.55,1948.34
"94",2003,10,10108,0,0,0,0,0,NA
"95",2003,10,40535,0,0,0,0,0,NA
"96",2003,10,40543,0,0,0,0,0,NA
"97",2003,10,40816,0,0,0,0,0,NA
"98",2003,10,40972,0,0,0,0,0,NA
"99",2003,10,40980,0,0,0,0,0,NA
"100",2003,10,61994,206.91,0,0,0,206.91,209.04
"101",2003,10,62000,345.1,0,0,0,345.1,359.23
"102",2003,10,62026,40.6,0,0,0,40.6,41.06
"103",2003,10,62042,116.45,0,0,0,116.45,116.45
"104",2003,10,62109,218.42,0,0,0,218.42,223.49
"105",2003,10,62117,32195.39,315.3,0,1520.2,32510.69,33560.23
"106",2003,10,62125,3868.45,101.08,0,23.76,3969.53,4021.13
"107",2003,10,62158,2075.43,17.22,0,0,2092.65,2151.17
"108",2003,10,62166,71661.24,2298.54,0,4180.03,73959.78,76405.89
"109",2003,10,62174,876.31,18.77,0,0,895.08,1008.99
"110",2003,10,62240,2132.19,0,0,0,2132.19,2161.78
"111",2003,10,62257,986.29,0,58.51,35.54,986.29,1041.87
"112",2003,10,62265,8474.97,96.4,107.1,288.35,8571.37,8876.17
"113",2003,10,62281,756.93,0,0,0,756.93,763.94
"114",2003,10,62323,216.46,0,0,0,216.46,221.78
"115",2003,10,62331,327.51,0,0,0,327.51,332.92
"116",2003,10,62356,397.47,6.24,0,0,403.71,412.27
"117",2003,10,62364,3171.86,33.22,65.74,36.85,3205.08,3409.93
"118",2003,10,62372,65.9,0,0,0,65.9,92.89
"119",2003,10,62380,251.85,0.62,0,0,252.47,255.64
"120",2003,10,62414,6990.31,86.41,145.22,220.35,7076.72,7524.49
"121",2003,10,62430,5724.94,74.04,138.99,216.49,5798.98,5960.25
"122",2003,10,62513,443.21,0,0,0,443.21,453.74
"123",2003,10,62521,1050.7,0,0,42.84,1050.7,1115.86
"124",2003,10,62539,146.24,0,0,0,146.24,154.33
"125",2003,10,62547,317.44,0,0,0,317.44,337.11
"126",2003,10,73809,2323.3,17.68,0,120.3,2340.98,2426.99
"127",2003,10,73965,10907.92,261.62,0,245.48,11169.54,11472.86
"128",2003,10,73999,3447.13,64.48,0,50.62,3511.61,3610.07
"129",2003,10,75127,2129.88,24.88,0,19.4,2154.76,2154.76
"130",2003,10,75234,1813.2,0,0,88,1813.2,1901.7
"131",2003,10,75275,1972.39,0,0,41.43,1972.39,1998.46
"132",2003,10,75408,1477.58,24.42,0,70.52,1502,1622.02
"133",2003,10,75598,1370.31,14,0,69.16,1384.31,1447.84
"134",2003,11,10116,0,0,0,0,0,NA
"135",2003,11,62554,124.63,0,0,0,124.63,124.63
"136",2003,11,62570,435.73,0,0,0,435.73,461.81
"137",2003,11,62588,320.08,0,0,43.23,320.08,330.94
"138",2003,11,62596,127.15,0,0,0,127.15,127.45
"139",2003,11,62638,135.9,0,0,0,135.9,136.04
"140",2003,11,62646,187.38,0,0,0,187.38,195.61
"141",2003,11,62653,136.01,0,0,0,136.01,136.01
"142",2003,11,62661,1709.62,0,0,0,1709.62,1766.14
"143",2003,11,75481,2189.92,35.13,0,0,2225.05,2292.64
"144",2003,12,10124,0,0,0,0,0,NA
"145",2003,12,62679,750.07,27.36,0,0,777.43,787.05
"146",2003,12,62687,1724.17,56.26,0,148.78,1780.43,1830
"147",2003,12,62695,25.54,0,0,0,25.54,25.54
"148",2003,12,62703,170.52,0,0,0,170.52,172.25
"149",2003,12,62729,49.71,0,0,0,49.71,52.83
"150",2003,12,62737,120.35,0,0,0,120.35,124.19
"151",2003,12,62745,491.67,0,0,0,491.67,500.16
"152",2003,12,62794,96.8,0,0,0,96.8,102.22
"153",2003,12,62802,774.14,0,0,0,774.14,817.47
"154",2003,12,62810,1042.77,10.47,0,51.86,1053.24,1067.45
"155",2003,12,62828,257.69,0,0,0,257.69,259.84
"156",2003,12,62836,54.44,0,0,0,54.44,54.44
"157",2003,12,62851,13.71,0,0,0,13.71,13.71
"158",2003,12,62885,155.51,0,0,0,155.51,156.69
"159",2003,12,62893,401.41,0,0,0,401.41,411.88
"160",2003,12,62901,939.32,23.6,0,0,962.92,988.25
"161",2003,12,62919,35.59,0,0,0,35.59,35.59
"162",2003,12,62927,167.03,8.81,0,0,175.84,180.71
"163",2003,12,62935,11.53,0,0,0,11.53,11.53
"164",2003,12,62950,1226.57,39.68,0,0,1266.25,1294.86
"165",2003,12,62968,44.38,0,0,0,44.38,44.38
"166",2003,12,62976,435.03,0,0,0,435.03,435.03
"167",2003,12,62984,70.91,0,0,0,70.91,71.49
"168",2003,12,63008,245.47,14.79,0,0,260.26,264.64
"169",2003,12,63016,593.59,1.19,0,0,594.78,607.13
"170",2003,12,63024,284.2,0,0,0,284.2,286.57
"171",2003,12,63032,420.79,11.87,0,0,432.66,441.96
"172",2003,12,63040,879.92,17.72,0,0,897.64,910.06
"173",2003,12,63057,104.67,0,0,0,104.67,107.09
"174",2003,12,75374,464.13,0,0,0,464.13,470.2
"175",2003,12,75382,77.9,0,0,0,77.9,77.9
"176",2003,12,75515,4439.83,158.78,0,966.44,4598.61,4689.04
"177",2003,13,10132,0,0,0,0,0,NA
"178",2003,13,40212,0,0,0,0,0,NA
"179",2003,13,63073,3487.14,74.02,0,0,3561.16,3611.02
"180",2003,13,63081,1665.87,30.53,205.18,97.18,1696.4,1829.6
"181",2003,13,63099,8237.59,180.76,148.96,256.43,8418.35,8916.69
"182",2003,13,63107,1147.75,11.92,47.1,5.23,1159.67,1237.86
"183",2003,13,63115,3648.74,46.35,260.46,239.88,3695.09,3850.64
"184",2003,13,63123,5878.04,126.36,0,0,6004.4,6188.97
"185",2003,13,63131,684.1,9.55,0,0,693.65,766.8
"186",2003,13,63149,1812.6,16.4,59.35,83.22,1829,1910.92
"187",2003,13,63164,2695.22,46.25,51.22,11.92,2741.47,2845.55
"188",2003,13,63172,110.95,0,0,0,110.95,113.35
"189",2003,13,63180,508.07,5.18,0,0,513.25,518.94
"190",2003,13,63198,456.83,14.89,0,0,471.72,493.34
"191",2003,13,63206,80.52,0,0,0,80.52,80.52
"192",2003,13,63214,669.9,12.88,0.65,34.99,682.78,717.91
"193",2003,13,63222,569.87,0,0,0,569.87,573.94
"194",2003,13,63230,385.99,0,0,0,385.99,399.5
"195",2003,14,10140,0,0,0,0,0,NA
"196",2003,14,63248,196.39,1.08,0,0,197.47,199.25
"197",2003,14,63255,1343.88,22.41,0,0,1366.29,1397.96
"198",2003,14,63263,720,13.89,0,9.14,733.89,749.37
"199",2003,14,63271,88.54,0,0,0,88.54,88.54
"200",2003,14,63289,386.63,5.85,0,9.8,392.48,405.14
"201",2003,14,63297,96.03,0,0,0,96.03,96.03
"202",2003,14,63305,115.2,0,0,0,115.2,115.2
"203",2003,15,10157,0,0,0,0,0,NA
"204",2003,15,40113,0,0,0,0,0,NA
"205",2003,15,40121,0,0,0,0,0,NA
"206",2003,15,63313,2704.37,88.4,0,0,2792.77,2813.78
"207",2003,15,63321,25816.65,643.93,0,0,26460.58,26981.59
"208",2003,15,63339,1678.19,38.67,0,0,1716.86,1737.62
"209",2003,15,63347,23.7,0,0,0,23.7,24.96
"210",2003,15,63354,14.15,0,0,0,14.15,14.15
"211",2003,15,63362,13127.55,281.05,0,0,13408.6,13566.25
"212",2003,15,63370,356.61,6.14,0,0,362.75,369.98
"213",2003,15,63388,112.12,0,0,0,112.12,125.58
"214",2003,15,63404,6948.35,105.64,0,0,7053.99,7089.47
"215",2003,15,63412,3634.06,64.26,223.56,525.12,3698.32,3993.86
"216",2003,15,63420,229.76,0,0,0,229.76,238.11
"217",2003,15,63438,880.87,0,0,0,880.87,897.7
"218",2003,15,63446,52.18,0,0,0,52.18,53.09
"219",2003,15,63461,1433.41,42.43,0,0,1475.84,1520.65
"220",2003,15,63479,3010.95,35.6,0,0,3046.55,3053.71
"221",2003,15,63487,230.66,0,0,0,230.66,238.43
"222",2003,15,63503,7018.54,167.58,0,0,7186.12,7363.34
"223",2003,15,63529,27331.94,1168.73,1306.98,4179.89,28500.67,31629.88
"224",2003,15,63545,909.34,0,0,0,909.34,936.52
"225",2003,15,63552,1261.24,0,0,0,1261.24,1271.68
"226",2003,15,63560,2604.2,77.09,0,0,2681.29,2710.13
"227",2003,15,63578,2727.91,55.9,0,0,2783.81,2848.91
"228",2003,15,63586,29.73,0,0,0,29.73,31.87
"229",2003,15,63594,517.75,14.37,0,0,532.12,533.87
"230",2003,15,63610,259.5,0,0,0,259.5,259.5
"231",2003,15,63628,327.53,3.53,21.05,0,331.06,346.76
"232",2003,15,63651,60.52,0,0,0,60.52,61.65
"233",2003,15,63669,83.84,0,0,0,83.84,85.09
"234",2003,15,63677,2456.85,77.28,0,35.48,2534.13,2585.04
"235",2003,15,63685,2245.22,48.07,0,0,2293.29,2323.61
