"","Traditional_SOC","Teacher_White","NewTeaching","PCT_FRPM_15bin","AcademicYear","N"
"530","Intermediate/Middle/Junior High",NA,"1","Quintile 3","17",82
"531","Intermediate/Middle/Junior High",NA,"1","Quintile 4","12",74
"532","Intermediate/Middle/Junior High",NA,"1","Quintile 4","13",93
"533","Intermediate/Middle/Junior High",NA,"1","Quintile 4","14",122
"534","Intermediate/Middle/Junior High",NA,"1","Quintile 4","15",77
"535","Intermediate/Middle/Junior High",NA,"1","Quintile 4","16",57
"536","Intermediate/Middle/Junior High",NA,"1","Quintile 4","17",58
"537","Intermediate/Middle/Junior High",NA,"1","Quintile 5","12",104
"538","Intermediate/Middle/Junior High",NA,"1","Quintile 5","13",91
"539","Intermediate/Middle/Junior High",NA,"1","Quintile 5","14",203
"540","Intermediate/Middle/Junior High",NA,"1","Quintile 5","15",63
"541","Intermediate/Middle/Junior High",NA,"1","Quintile 5","16",60
"542","Intermediate/Middle/Junior High",NA,"1","Quintile 5","17",73
