"","year","x","y","Subject_Category","idx_error","Freq","Percent","CumFreq","CumPercent"
"61","12","Teacher_Black","PCT_EL","Foreign Languages",FALSE,2207,97.1,2207,97.1
"62","12","Teacher_Black","PCT_EL","Foreign Languages",TRUE,67,2.9,2274,100
"63","12","Teacher_Black","PCT_EL","History/Social Science",FALSE,4111,97.3,4111,97.3
"64","12","Teacher_Black","PCT_EL","History/Social Science",TRUE,113,2.7,4224,100
"65","12","Teacher_Black","PCT_EL","Mathematics",FALSE,4177,97.1,4177,97.1
"66","12","Teacher_Black","PCT_EL","Mathematics",TRUE,123,2.9,4300,100
"67","12","Teacher_Black","PCT_EL","Other Instruction-Related Assignments",FALSE,3908,67.9,3908,67.9
"68","12","Teacher_Black","PCT_EL","Other Instruction-Related Assignments",TRUE,1844,32.1,5752,100
"69","12","Teacher_Black","PCT_EL","PE/Health",FALSE,3972,88,3972,88
"70","12","Teacher_Black","PCT_EL","PE/Health",TRUE,540,12,4512,100
"71","12","Teacher_Black","PCT_EL","Science",FALSE,4088,94.7,4088,94.7
"72","12","Teacher_Black","PCT_EL","Science",TRUE,231,5.3,4319,100
"73","12","Teacher_Black","PCT_EL","Self-Contained Class",FALSE,7035,98.3,7035,98.3
"74","12","Teacher_Black","PCT_EL","Self-Contained Class",TRUE,123,1.7,7158,100
"75","12","Teacher_Black","PCT_EL","Special Designated Subjects",FALSE,517,96.1,517,96.1
"76","12","Teacher_Black","PCT_EL","Special Designated Subjects",TRUE,21,3.9,538,100
"77","12","Teacher_Black","PCT_EL",NA,FALSE,5,0.1,5,0.1
"78","12","Teacher_Black","PCT_EL",NA,TRUE,4764,99.9,4769,100
"79","12","Teacher_Asian","PCT_EL","Art, Music, Dance, Drama",FALSE,3477,84.5,3477,84.5
"80","12","Teacher_Asian","PCT_EL","Art, Music, Dance, Drama",TRUE,640,15.5,4117,100
"81","12","Teacher_Asian","PCT_EL","Career Technical Education/Vocational",FALSE,2253,97.2,2253,97.2
"82","12","Teacher_Asian","PCT_EL","Career Technical Education/Vocational",TRUE,66,2.8,2319,100
"83","12","Teacher_Asian","PCT_EL","Computer Education",FALSE,1444,94.1,1444,94.1
"84","12","Teacher_Asian","PCT_EL","Computer Education",TRUE,91,5.9,1535,100
"85","12","Teacher_Asian","PCT_EL","English Language Arts",FALSE,4237,93,4237,93
"86","12","Teacher_Asian","PCT_EL","English Language Arts",TRUE,321,7,4558,100
"87","12","Teacher_Asian","PCT_EL","Foreign Languages",FALSE,2207,97.1,2207,97.1
"88","12","Teacher_Asian","PCT_EL","Foreign Languages",TRUE,67,2.9,2274,100
"89","12","Teacher_Asian","PCT_EL","History/Social Science",FALSE,4111,97.3,4111,97.3
"90","12","Teacher_Asian","PCT_EL","History/Social Science",TRUE,113,2.7,4224,100
"91","12","Teacher_Asian","PCT_EL","Mathematics",FALSE,4177,97.1,4177,97.1
"92","12","Teacher_Asian","PCT_EL","Mathematics",TRUE,123,2.9,4300,100
"93","12","Teacher_Asian","PCT_EL","Other Instruction-Related Assignments",FALSE,3908,67.9,3908,67.9
"94","12","Teacher_Asian","PCT_EL","Other Instruction-Related Assignments",TRUE,1844,32.1,5752,100
"95","12","Teacher_Asian","PCT_EL","PE/Health",FALSE,3972,88,3972,88
"96","12","Teacher_Asian","PCT_EL","PE/Health",TRUE,540,12,4512,100
"97","12","Teacher_Asian","PCT_EL","Science",FALSE,4088,94.7,4088,94.7
"98","12","Teacher_Asian","PCT_EL","Science",TRUE,231,5.3,4319,100
